kartez,family,genus
ACNA2,Asteraceae,Acourtia
ALIN,Nyctaginaceae,Allionia
ALMA4,Liliaceae,Allium
APRAH,Asteraceae,Aphanostephus
ARFEF,Brassicaceae,Arabis
ASBR,Asclepiadaceae,Asclepias
ASFE2,Fabaceae,Astragalus
ASFL2,Fabaceae,Astragalus
ASLA4,Asclepiadaceae,Asclepias
ASMIM,Fabaceae,Astragalus
ASNU4,Fabaceae,Astragalus
ASSP,Asclepiadaceae,Asclepias
BAAB,Asteraceae,Bahia
BAABA,Asteraceae,Bahia
BADI,Asteraceae,Bahia
BAMU,Asteraceae,Baileya
BELY,Asteraceae,Berlandiera
BOSP,Nyctaginaceae,Boerhavia
BRBR2,Asteraceae,Brickellia
BRCA3,Asteraceae,Brickellia
BREUC2,Asteraceae,Brickellia
CAHA14,Onagraceae,Calylophus
CAIN14,Scrophulariaceae,Castilleja
CAWR,Asteraceae,Calycoseris
CHAL11,Euphorbiaceae,Chamaesyce
CHCHC3,Euphorbiaceae,Chamaesyce
CHCO,Solanaceae,Chamaesaracha
CHCO2,Solanaceae,Chamaesaracha
CHER2,Asteraceae,Chaetopappa
CHFE3,Euphorbiaceae,Chamaesyce
CHLA10,Euphorbiaceae,Chamaesyce
CHMI7,Euphorbiaceae,Chamaesyce
CHRE4,Euphorbiaceae,Chamaesyce
CHSE7,Euphorbiaceae,Chamaesyce
CHSES,Euphorbiaceae,Chamaesyce
CHST8,Euphorbiaceae,Chamaesyce
CINE,Asteraceae,Cirsium
CIUN,Asteraceae,Cirsium
COAR4,Convolvulaceae,Convolvulus
COEQ,Convolvulaceae,Convolvulus
CRCI3,Boraginaceae,Cryptantha
CRCR3,Boraginaceae,Cryptantha
CUFO,Cucurbitaceae,Cucurbita
CYACF,Apiaceae,Cymopterus
CYIMI,Cactaceae,Cylindropuntia
CYLE8,Cactaceae,Cylindropuntia
DABR,Fabaceae,Dalea
DAFO,Fabaceae,Dalea
DAJA,Fabaceae,Dalea
DANAN,Fabaceae,Dalea
DEPI,Brassicaceae,Descurainia
DEWO,Ranunculaceae,Delphinium
