genus,code,year,month,web_ID,abundance
Agapostemon,HAAGAXXX,2002,6,G2N,1
Lasioglossum,HALASXXX,2002,6,C1S,1
Lasioglossum,HALASXXX,2008,5,C4N,1
Lasioglossum,HALASXXX,2008,6,C1S,1
Lasioglossum,HALASXXX,2008,6,G1S,1
Lasioglossum,HALASXXX,2008,7,C1S,1
Lasioglossum,HALASXXX,2008,10,C5S,1
Lasioglossum,HALASXXX,2009,7,G1S,1
Lasioglossum,HALASXXX,2011,7,C3N,1
Lasioglossum,HALASXXX,2013,6,B5S,1
Lasioglossum,HALASXXX,2014,7,G5N,1
Lasioglossum,HALASXXX,2014,9,C3S,1
Lasioglossum,HALASXXX,2015,6,B4S,4
Lasioglossum,HALASXXX,2015,6,G1S,1
Lasioglossum,HALASXXX,2015,6,G2N,1
Lasioglossum,HALASXXX,2015,6,G3S,1
Lasioglossum,HALASXXX,2015,6,G5S,2
Lasioglossum,HALASXXX,2015,7,C5N,1
Lasioglossum,HALASXXX,2015,8,B4S,1
Lasioglossum,HALASXXX,2016,6,B5S,1
Lasioglossum,HALASXXX,2016,6,C1S,1
Lasioglossum,HALASXXX,2016,6,C2N,1
Lasioglossum,HALASXXX,2016,6,C3S,1
Lasioglossum,HALASXXX,2016,6,C5N,2
Lasioglossum,HALASXXX,2016,7,C1N,1
Lasioglossum,HALASXXX,2016,7,C5N,1
Lasioglossum,HALASXXX,2017,6,C2N,1
Lasioglossum,HALASXXX,2018,6,G5S,1
Lasioglossum,HALASXXX,2019,6,C1N,1
Lasioglossum,HALASXXX,2019,6,C2N,1
Lasioglossum,HALASXXX,2019,6,C4N,1
Lasioglossum,HALASXXX,2019,6,C4S,1
Lasioglossum,HALASXXX,2019,6,G1N,1
Lasioglossum,HALASXXX,2019,6,G3S,2
Lasioglossum,HALASXXX,2019,7,B5S,1
Lasioglossum,HALASXXX,2019,7,C2N,1
Lasioglossum,HALASXXX,2019,7,G4S,1
Lasioglossum,HALASXXX,2019,7,G5N,1
Agapostemon,HAAGAXXX,2020,3,B1N,3
Agapostemon,HAAGAXXX,2020,3,B1S,3
Agapostemon,HAAGAXXX,2020,3,B2N,2
Agapostemon,HAAGAXXX,2020,3,B2S,3
Agapostemon,HAAGAXXX,2020,3,B3N,2
Agapostemon,HAAGAXXX,2020,3,B4N,2
Agapostemon,HAAGAXXX,2020,3,B4S,3
Agapostemon,HAAGAXXX,2020,3,B5N,4
Agapostemon,HAAGAXXX,2020,3,B5S,3
Agapostemon,HAAGAXXX,2020,3,C2N,2
Agapostemon,HAAGAXXX,2020,3,C2S,1
Agapostemon,HAAGAXXX,2020,3,C3N,1
Agapostemon,HAAGAXXX,2020,3,C4S,1
Agapostemon,HAAGAXXX,2020,3,G1N,1
Agapostemon,HAAGAXXX,2020,3,G1S,1
Agapostemon,HAAGAXXX,2020,3,G2N,1
Agapostemon,HAAGAXXX,2020,3,G2S,5
Agapostemon,HAAGAXXX,2020,3,G3N,1
Agapostemon,HAAGAXXX,2020,3,G4S,1
Agapostemon,HAAGAXXX,2020,3,G5S,2
Agapostemon,HAAGAXXX,2020,4,B1N,79
Agapostemon,HAAGAXXX,2020,4,B1S,9
Agapostemon,HAAGAXXX,2020,4,B2N,17
Agapostemon,HAAGAXXX,2020,4,B2S,52
Agapostemon,HAAGAXXX,2020,4,B3N,16
Agapostemon,HAAGAXXX,2020,4,B3S,14
Agapostemon,HAAGAXXX,2020,4,B4N,6
Agapostemon,HAAGAXXX,2020,4,B4S,27
Agapostemon,HAAGAXXX,2020,4,B5N,27
Agapostemon,HAAGAXXX,2020,4,B5S,69
Agapostemon,HAAGAXXX,2020,4,C1N,1
Agapostemon,HAAGAXXX,2020,4,C1S,6
Agapostemon,HAAGAXXX,2020,4,C2N,3
Agapostemon,HAAGAXXX,2020,4,C2S,1
Agapostemon,HAAGAXXX,2020,4,C4N,2
Agapostemon,HAAGAXXX,2020,4,C4S,3
Agapostemon,HAAGAXXX,2020,4,C5N,2
Agapostemon,HAAGAXXX,2020,4,C5S,1
Agapostemon,HAAGAXXX,2020,4,G1N,3
Agapostemon,HAAGAXXX,2020,4,G1S,7
Agapostemon,HAAGAXXX,2020,4,G2N,24
Agapostemon,HAAGAXXX,2020,4,G2S,18
Agapostemon,HAAGAXXX,2020,4,G3N,9
Agapostemon,HAAGAXXX,2020,4,G3S,6
Agapostemon,HAAGAXXX,2020,4,G4N,15
Agapostemon,HAAGAXXX,2020,4,G4S,14
Agapostemon,HAAGAXXX,2020,4,G5N,8
Agapostemon,HAAGAXXX,2020,4,G5S,9
Agapostemon,HAAGAXXX,2020,5,B1N,21
Agapostemon,HAAGAXXX,2020,5,B1S,14
Agapostemon,HAAGAXXX,2020,5,B2N,16
Agapostemon,HAAGAXXX,2020,5,B2S,62
Agapostemon,HAAGAXXX,2020,5,B3N,8
Agapostemon,HAAGAXXX,2020,5,B3S,16
Agapostemon,HAAGAXXX,2020,5,B4N,6
Agapostemon,HAAGAXXX,2020,5,B4S,13
Agapostemon,HAAGAXXX,2020,5,B5N,27
Agapostemon,HAAGAXXX,2020,5,B5S,14
Agapostemon,HAAGAXXX,2020,5,C1N,7
