site,year,season.precip.fall,GDD.fall,SPEI.comp.fall,season.precip.spring,GDD.spring,SPEI.comp.spring
met49,1999,143.929,4178.187,NA,33.083,1475.413,NA
met49,2000,94.893,4513.179585,NA,59.145,1641.291,-0.062648028
met49,2001,151.805,4464.4365,-0.391163135,46.061,1514.3945,-0.00510682
met49,2002,181.59,4477.6785,-0.227448115,5.743,1549.983,-1.479682354
met49,2003,69.999,4570.5855,0.523213381,21.912,1477,-0.869023033
met49,2004,114.678,4239.308,-0.621158775,106.698,1482.8665,1.157927666
met49,2005,144.356,4385.6395,0.45732099,79.358,1423.169,0.526130435
met49,2006,257.869,4345.444591,0.899946941,8.403,1602.620681,-1.550491557
met49,2007,101.458,4356.150578,2.090347249,109.003,1409.077,1.77624222
met49,2008,201.022,4240.546,-1.352465274,15.305,1420.528,-0.389179503
met49,2009,136.65,4304.472,1.221248091,44.966,1545.0335,0.091513482
met49,2010,110.808,4450.6275,0.252825482,49.327,1315.9085,0.460485843
met49,2011,85.819,4488.7175,-1.230393674,2.549,1503.3695,-1.106860384
met49,2012,93.692,4592.053,-1.019824212,30.624,1566.6395,-0.745171731
met49,2013,242.816,4329.4485,-1.521068418,13.608,1452.2645,-0.860571124
met49,2014,168.236,4375.9195,0.668656863,18.816,1521.276,-0.214506074
met49,2015,79.852,4391.791,0.416146524,49.112,1463.8525,0.695862754
met49,2016,111.3829787,4443.794,-1.018813159,29.25531915,1512.393,-0.008541488
met49,2017,143.3346837,4430.94163,-0.648378157,40,1610.8345,-0.18410558
met49,2018,144.1489362,4633.1115,-0.249668233,20,1696.1965,-1.92411555
met49,2019,101.3829787,4398.622,0.316312818,68.61702128,1433.471,0.893410266
met49,2020,91.80851064,4652.7175,-1.061009011,38.5106383,1635.724,-1.352340518
met49,2021,187.3404255,4481.7355,-1.892964968,14.04255319,1518.951,-0.934703584
met49,2022,192.0212766,4498.755386,-0.680812646,17.11376017,1520.702006,-0.454747837
met49,2023,111.595745,4606.806,0.5268702,46.3829787,1406.1,0.5969089
met50,2002,248.214783,4590.842772,NA,0,1608.508,NA
met50,2003,50.1,4728.413396,NA,32.6,1534.4535,-0.776372844
met50,2004,211.7,4353.744067,-1.038476283,99.23676678,1557.497365,0.905698741
met50,2005,168.3,4517.756073,0.780973142,75.4,1466.630073,0.436422666
met50,2006,188.1135997,4471.293201,0.860598537,15.1,1694.3205,-1.52336536
met50,2007,150,4509.7785,1.474577039,99.5,1484.747,1.565296753
met50,2008,113.6,4407.1475,-1.628055243,21.6,1499.0155,-0.346436638
met50,2009,115.6,4437.5715,0.211826917,47,1607.60312,0.127866422
met50,2010,127.3,4576.591146,-0.378606282,66,1379.1915,0.737592567
met50,2011,91,4629.95,-1.5254047,1,1576.4045,-1.205781855
met50,2012,90.01359965,4767.309147,-1.24512426,29.2,1661.126,-1.038714921
met50,2013,262.5,4485.5005,-1.625139881,16.4,1538.874,-1.145500298
met50,2014,172,4526.711,0.822978163,22,1614.826,-0.337021048
met50,2015,97.2,4547.613,0.231106237,56.7,1561.9985,0.74410666
met50,2016,110.7,4597.862,-0.64556384,29.38159791,1595.889977,-0.078113564
met50,2017,172.9,4604.272,-0.712684834,42.3,1699.8625,-0.356091197
met50,2018,130.1,4771.4595,0.190724481,28,1771.5335,-1.874396309
met50,2019,98.7,4553.846394,-0.218835141,77.2,1494.558476,0.765427179
met50,2020,152.4,4831.7415,-1.099863038,47,1700.5215,-1.328129022
met50,2021,264.5,4610.5795,-1.501679322,26.4,1600.184,-0.738188062
met50,2022,163.6,4656.6585,-0.255919541,22.8,1610.662,-1.251196403
met50,2023,89.4,4757.3235,0.611435638,52.5,1464.498,0.31109296
