code,family,genus,subgenus,species,diet_breadth,specialist_host,diet_breadth_citation,sociality,sociality_citation,overwintering_stage,overwintering_stage_citation
ANAND002,Andrenidae,Andrena,Micrandrena,2,unknown,NA,KW,solitary,KW; TG,adult,KW; TG
ANAND003,Andrenidae,Andrena,NA,3,unknown,NA,KW,unknown,NA,adult,KW; TG
ANANDARD,Andrenidae,Andrena,Callandrena,ardis,oligolectic,"Asteraceae, especially Gutierrezia",KW,unknown,NA,adult,KW; TG
ANANDILL,Andrenidae,Andrena,Micrandrena,illinoiensis,unknown,NA,KW,unknown,NA,adult,KW; TG
ANANDJES,Andrenidae,Andrena,Tylandrena,jessicae,unknown,NA,KW,unknown,NA,adult,KW; TG
ANANDMES,Andrenidae,Andrena,Tylandrena,mesillae,polylectic,NA,KW,unknown,NA,adult,KW; TG
ANANDPEC,Andrenidae,Andrena,Callandrena,pecosana,oligolectic,Asteraceae,KW; Hurd et al. 1980,unknown,NA,adult,KW; TG
ANANDPRF,Andrenidae,Andrena,Micrandrena,primulifrons,oligolectic,NA,KW,unknown,NA,adult,KW; TG
ANANDPRI,Andrenidae,Andrena,Rhaphandrena,prima,oligolectic,NA,KW,unknown,NA,adult,KW; TG
ANANDPRU,Andrenidae,Andrena,Plastandrena,prunorum,polylectic,NA,Minckley et al. 1999; Hurd et al. 1980,solitary,KW; TG,adult,Stemkovski et al. 2020
ANCAL002,Andrenidae,Calliopsis,NA,2,unknown,NA,KW,unknown,NA,prepupae,Danforth et al. 2019
ANCALANO,Andrenidae,Calliopsis,Perissander,anomoptera,unknown,NA,KW,unknown,NA,prepupae,Danforth et al. 2019
ANCALMEL,Andrenidae,Calliopsis,Nomadopsis,meliloti,oligolectic,NA,KW,unknown,NA,prepupae,Danforth et al. 2019
ANCALNEB,Andrenidae,Calliopsis,Verbenapis,nebraskensis?,unknown,NA,KW,unknown,NA,prepupae,Danforth et al. 2019
ANCALROZ,Andrenidae,Calliopsis,Calliopsima,rozeni,oligolectic,Asteraceae,Hurd et al. 1980,unknown,NA,prepupae,Danforth et al. 2019
ANCALTIM,Andrenidae,Calliopsis,Nomadopsis,timberlakei,unknown,NA,KW,unknown,NA,prepupae,Danforth et al. 2019
ANCALVER,Andrenidae,Calliopsis,Verbenapis,verbenae,oligolectic,NA,KW,unknown,NA,prepupae,Danforth et al. 2019
ANMACLAT,Andrenidae,Macrotera,Macroteropsis,latior,oligolectic,Sphaeralcea?,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANMACMAG,Andrenidae,Macrotera,Macroteropsis,magniceps,oligolectic,Sphaeralcea?,KW,unknown,NA,prepupae,Danforth et al. 2019
ANMACPOR,Andrenidae,Macrotera,Macroteropsis,portalis,oligolectic,Sphaeralcea,KW; TG,solitary,TG,prepupae,"Danforth 1991, 1999; Danforth et al. 2019"
ANPER002,Andrenidae,Perdita,Perdita,2,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPER003,Andrenidae,Perdita,Pentaperdita,3,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPER004,Andrenidae,Perdita,Hexaperdita,4,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPER005,Andrenidae,Perdita,Perdita,5,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPER006,Andrenidae,Perdita,Perdita,6,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPER010,Andrenidae,Perdita,NA,10,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPER011,Andrenidae,Perdita,Perdita,11,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPER012,Andrenidae,Perdita,Perdita,12,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPER013,Andrenidae,Perdita,Perdita,13,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPER014,Andrenidae,Perdita,NA,14,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPER015,Andrenidae,Perdita,NA,15,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPER016,Andrenidae,Perdita,NA,16,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPER017,Andrenidae,Perdita,NA,17,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPER018,Andrenidae,Perdita,NA,18,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPER019,Andrenidae,Perdita,NA,19,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPER020,Andrenidae,Perdita,NA,20,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPER021,Andrenidae,Perdita,NA,21,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPER022,Andrenidae,Perdita,NA,22,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPER031,Andrenidae,Perdita,Perdita,31,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPER032,Andrenidae,Perdita,Perdita,32,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPER033,Andrenidae,Perdita,NA,33,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPER036,Andrenidae,Perdita,Perdita,36,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPER050,Andrenidae,Perdita,Perdita,50,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPER051,Andrenidae,Perdita,NA,51,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPER052,Andrenidae,Perdita,NA,52,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPER54,Andrenidae,Perdita,NA,54,unknown,NA,NA,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPER56,Andrenidae,Perdita,NA,56,unknown,NA,NA,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPERAAL,Andrenidae,Perdita,Pentaperdita,aff_albovittata,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPERACU,Andrenidae,Perdita,Perdita,aff_cuspidata,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPERAFF,Andrenidae,Perdita,Perdita,affinis,oligolectic,Asteraceae,KW; Hurd et al. 1980,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPERAHE,Andrenidae,Perdita,Hexaperdita,aff_heterotheceae,oligolectic,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPERALB,Andrenidae,Perdita,Pentaperdita,albovittata,oligolectic,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPERALH,Andrenidae,Perdita,Cockerellia,albipennis,oligolectic,"Asteraceae, especially Helianthus",Hurd et al. 1980,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPERAMI,Andrenidae,Perdita,Perdita,aff_missionis,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPERAPE,Andrenidae,Perdita,Perdita,aperta,oligolectic,Gutierrezia,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPERARI,Andrenidae,Perdita,Perdita,aridella,oligolectic,Asteraceae,KW; Hurd et al. 1980,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPERAUS,Andrenidae,Perdita,Perdita,austini,oligolectic,"Asteraceae, especially Gutierrezia",KW; TG,solitary,TG,prepupae,Danforth et al. 2019
ANPERBRA,Andrenidae,Perdita,Pentaperdita,bradleyana,oligolectic,Asteraceae,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPERCAL,Andrenidae,Perdita,Hexaperdita,callicerata,oligolectic,"Asteraceae, especially Baileya",KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPERCAR,Andrenidae,Perdita,Hexaperdita,cara,unknown,NA,TG,solitary,TG,prepupae,Danforth et al. 2019
ANPERCON,Andrenidae,Perdita,Perdita,confusa,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPERCOR,Andrenidae,Perdita,Cockerellia,coreopsidis,oligolectic,Asteraceae,KW,solitary,KW; TG,prepupae,"Danforth 1989, Danforth et al. 2019"
ANPERDIV,Andrenidae,Perdita,Epimacrotera,diversa,oligolectic,Tiquilia,KW; TG,solitary,TG,prepupae,Danforth et al. 2019
ANPERDRY,Andrenidae,Perdita,Perdita,drymariae?,oligolectic,Tidesroemia,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPERFAL,Andrenidae,Perdita,Perdita,fallax,oligolectic,Asteraceae,KW; Hurd et al. 1980,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPERGUT,Andrenidae,Perdita,Perdita,gutierreziae,oligolectic,Asteraceae,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPERIGN,Andrenidae,Perdita,Hexaperdita,ignota,oligolectic,"Asteraceae, especially Heterotheca",KW; Hurd et al. 1980,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPERLAR,Andrenidae,Perdita,Perditella,larreae,oligolectic,Larrea,KW; TG; Minckley et al. 1999; Hurd & Linsley 1975,solitary,TG,prepupae,Danforth et al. 2019
ANPERLAT,Andrenidae,Perdita,Perdita,aff_laticincta,oligolectic?,"Asteraceae, especially Helianthus",Hurd et al. 1980,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPERLEN,Andrenidae,Perdita,Perdita,lenis,oligolectic,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPERLUT,Andrenidae,Perdita,Perdita,luteola,oligolectic,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPERMAR,Andrenidae,Perdita,Perditella,marcialis,polylectic,NA,KW; TG; Hurd & Linsley 1975,solitary,TG,prepupae,Danforth et al. 2019
ANPERREC,Andrenidae,Perdita,Perdita,rectangulata,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPERSEM,Andrenidae,Perdita,Perdita,semicaerulea,oligolectic,Larrea,KW; TG; Minckley et al. 1999; Hurd & Linsley 1975,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPERSEX,Andrenidae,Perdita,Perdita,sexmaculata,unknown,NA,NA,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPERSPH,Andrenidae,Perdita,Perdita,sphaeralceae,oligolectic,Sphaeralcea,KW; TG,solitary,TG,prepupae,Danforth et al. 2019
ANPERTRI,Andrenidae,Perdita,Perdita,trinotata,oligolectic,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPERVER,Andrenidae,Perdita,Cockerellia,verbesinae,oligolectic,"Asteraceae, especially Helianthus",KW; Hurd et al. 1980,solitary,KW; TG,prepupae,Danforth et al. 2019
ANPRO001,Andrenidae,Protandrena,Heterosarus,1,unknown,NA,KW,unknown,NA,prepupae,Danforth et al. 2019
ANPRO002,Andrenidae,Protandrena,Heterosarus,2,unknown,NA,KW,unknown,NA,prepupae,Danforth et al. 2019
ANPRO003,Andrenidae,Protandrena,Heterosarus,3,unknown,NA,KW,unknown,NA,prepupae,Danforth et al. 2019
ANPROGLO,Andrenidae,Protoxaea,NA,gloriosa,polylectic,NA,KW; Hurd & Linsley 1975,unknown,NA,prepupae,Danforth et al. 2019
ANPSE001,Andrenidae,Pseudopanurgus,NA,1,unknown,NA,KW,unknown,NA,prepupae,Danforth et al. 2019
ANPSE002,Andrenidae,Pseudopanurgus,NA,2,unknown,NA,KW,unknown,NA,prepupae,Danforth et al. 2019
ANPSEFRA,Andrenidae,Pseudopanurgus,NA,fraterculus,oligolectic,NA,KW,unknown,NA,prepupae,Danforth et al. 2019
APANPCOM,Apidae,Anthophorula,Anthophorula,compactula,polylectic,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
APANPCOP,Apidae,Anthophorula,Anthophorula,completa,polylectic,NA,KW,solitary,TG,prepupae,Danforth et al. 2019
APANPPYG,Apidae,Anthophorula,Anthophorisca,pygmaea,oligolectic,"Asteraceae, especially Helianthus",Hurd et al. 1980,solitary,KW; TG,prepupae,Danforth et al. 2019
APANTAFF,Apidae,Anthophora,Lophanthophora,affabilis,polylectic,NA,TG,solitary,TG,prepupae,Danforth et al. 2019
APANTCAL,Apidae,Anthophora,Anthophoroides,californica,polylectic,NA,KW; Hurd & Linsley 1975,solitary,KW; TG,prepupae,Danforth et al. 2019
APANTCEN,Apidae,Anthophora,Paramegilla,centriformis,unknown,NA,KW,unknown,NA,prepupae,Danforth et al. 2019
APANTCOP,Apidae,Anthophora,Lophanthophora,coptognatha,polylectic,NA,KW,unknown,NA,prepupae,Danforth et al. 2019
APANTLES,Apidae,Anthophora,Pyganthophora,lesquerellae,polylectic,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
APANTMON,Apidae,Anthophora,Mystacanthophora,montana,polylectic,NA,KW; TG; Hurd et al. 1980,solitary,TG,prepupae,Danforth et al. 2019
APANTNEG,Apidae,Anthophora,Lophanthophora,neglecta,polylectic,NA,KW,unknown,NA,prepupae,Danforth et al. 2019
APANTNSP,Apidae,Anthophora,NA,n_sp,unknown,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
APANTPET,Apidae,Anthophora,Heliophila,petrophila,unknown,NA,KW,unknown,NA,prepupae,Danforth et al. 2019
APANTPHE,Apidae,Anthophora,Heliophila,phenax,unknown,NA,KW,unknown,NA,prepupae,Danforth et al. 2019
APANTPOR,Apidae,Anthophora,Lophanthophora,porterae,polylectic,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
APANTSQU,Apidae,Anthophora,Micranthophora,squammulosa,unknown,NA,NA,unknown,NA,prepupae,Danforth et al. 2019
APANTURB,Apidae,Anthophora,Mystacanthophora,urbana,polylectic,NA,KW; TG; Minckley et al. 1999; Hurd & Linsley 1975,solitary,TG,prepupae,Danforth et al. 2019
APAPIMEL,Apidae,Apis,Apis,mellifera,polylectic,NA,KW; TG; Hurd & Linsley 1975; Hurd et al. 1980,social,TG,adult,Stephen et al. 1969
APBOMPEN,Apidae,Bombus,Thoracobombus,pensylvanicus,polylectic,NA,KW; Hurd & Linsley 1975; Hurd et al. 1980,unknown,NA,adult,Danforth et al. 2019
APBOMSON,Apidae,Bombus,Thoracobombus,sonorus,unknown,NA,NA,unknown,NA,adult,Danforth et al. 2019
APCENATR,Apidae,Centris,Paracentris,atripes,polylectic,NA,KW; Hurd & Linsley 1975,unknown,NA,prepupae,Danforth et al. 2019
APCENCAE,Apidae,Centris,Paracentris,caesalpiniae,polylectic,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
APCENCOC,Apidae,Centris,Paracentris,cockerelli,unknown,NA,NA,unknown,NA,prepupae,Danforth et al. 2019
APCENLAN,Apidae,Centris,Paracentris,lanosa,unknown,NA,KW,unknown,NA,prepupae,Danforth et al. 2019
APCENZAC,Apidae,Centris,Paracentris,zacateca,unknown,NA,KW,unknown,NA,prepupae,Danforth et al. 2019
APCERNAN,Apidae,Ceratina,Zadontomerus,nanula,polylectic,NA,KW; Hurd et al. 1980,unknown,NA,adult,Danforth et al. 2019
APDIAAUS,Apidae,Diadasia,NA,australis,oligolectic,"Cactaceae, especially Opuntia",KW; TG; Sipes & Tepedino 2005,solitary,TG,prepupae,Danforth et al. 2019
APDIADIM,Apidae,Diadasia,NA,diminuta,oligolectic,Sphaeralcea,KW; Sipes & Tepedino 2005,solitary,KW; TG,prepupae,Danforth et al. 2019
APDIAENA,Apidae,Diadasia,NA,enavata,oligolectic,"Asteraceae, especially Helianthus",Sipes & Tepedino 2005,unknown,NA,prepupae,Danforth et al. 2019
APDIAMEG,Apidae,Diadasia,NA,megamorpha,oligolectic,Sphaeralcea,KW; TG,solitary,TG,prepupae,Danforth et al. 2019
APDIAOCH,Apidae,Diadasia,NA,ochracea,oligolectic,Sphaeralcea,KW; Sipes & Tepedino 2005,solitary,KW; TG,prepupae,Danforth et al. 2019
APDIARIN,Apidae,Diadasia,NA,rinconis,oligolectic,"Cactaceae, especially Opuntia",KW; TG; Sipes & Tepedino 2005,solitary,TG,prepupae,"Neff & Simpson 1992, Danforth et al. 2019"
APEPEAME,Apidae,Epeolus,NA,aff_americanus,parasitic,NA,KW,parasitic,KW; TG,prepupae,Stemkovski et al. 2020
APEPEBRU,Apidae,Epeolus,NA,brumleyi,parasitic,NA,KW,parasitic,KW; TG,prepupae,Danforth et al. 2019
APEPECOM,Apidae,Epeolus,NA,compactus,parasitic,NA,KW,parasitic,KW; TG,prepupae,Stemkovski et al. 2020
APEPEMES,Apidae,Epeolus,NA,mesillae,parasitic,NA,KW,parasitic,KW; TG,prepupae,Danforth et al. 2019
APEPEMIN,Apidae,Epeolus,NA,minimus,parasitic,NA,KW,parasitic,KW; TG,prepupae,Danforth et al. 2019
APERILAT,Apidae,Ericrocis,NA,lata,parasitic,NA,KW,parasitic,KW; TG,prepupae,Danforth et al. 2019
APEUCAAL,Apidae,Eucera,Synhalonia,aff_albescens,polylectic,NA,KW,solitary,KW; TG,prepupae,Danforth et al. 2019
APEUCALB,Apidae,Eucera,Tetraloniella,albata,unknown,NA,KW,unknown,NA,prepupae,Danforth et al. 2019
APEUCERI,Apidae,Eucera,Tetraloniella,eriocarpi,polylectic,NA,Hurd & Linsley 1975,unknown,NA,prepupae,Danforth et al. 2019
