year,month, PDO
1854,1,0.05
1854,2,-0.09
1854,3,0.138
1854,4,0.131
1854,5,-0.064
1854,6,0.005
1854,7,-0.201
1854,8,-0.849
1854,9,-0.727
1854,10,-1.597
1854,11,-1.301
1854,12,-1.582
1855,1,0.009
1855,2,0.11
1855,3,0.234
1855,4,-0.312
1855,5,-0.999
1855,6,-1.227
1855,7,-0.571
1855,8,0.049
1855,9,-0.247
1855,10,-0.243
1855,11,-0.045
1855,12,-0.498
1856,1,-0.124
1856,2,0.375
1856,3,0.291
1856,4,-0.646
1856,5,-0.81
1856,6,-1.513
1856,7,-0.347
1856,8,0.75
1856,9,0.921
1856,10,0.733
1856,11,0.307
1856,12,-0.071
1857,1,-0.665
1857,2,-1.4
1857,3,-1.149
1857,4,-0.455
1857,5,0.052
1857,6,1.031
1857,7,1.144
1857,8,0.871
1857,9,0.651
1857,10,0.414
1857,11,0.34
1857,12,-0.448
1858,1,-0.769
1858,2,-0.955
1858,3,-1.309
1858,4,-0.718
1858,5,0.619
1858,6,2.357
1858,7,1.422
1858,8,1.401
1858,9,1.515
1858,10,2.296
1858,11,0.644
1858,12,-0.726
1859,1,-0.809
1859,2,-1.221
1859,3,-1.777
1859,4,-2.707
1859,5,-2.284
1859,6,-1.941
1859,7,-1.014
1859,8,-0.945
1859,9,-0.918
1859,10,-1.102
1859,11,-1.042
1859,12,-0.776
1860,1,-0.855
1860,2,-0.795
1860,3,-0.949
1860,4,-0.639
1860,5,-0.576
1860,6,-0.836
1860,7,0.507
1860,8,0.463
1860,9,0.964
1860,10,-0.806
1860,11,-0.801
1860,12,-1.056
1861,1,-0.579
1861,2,-0.727
1861,3,-0.649
1861,4,-0.63
1861,5,-0.165
1861,6,-0.153
1861,7,-0.253
1861,8,-0.302
1861,9,-0.757
1861,10,-1.108
1861,11,-1.318
1861,12,-1.293
1862,1,-0.44
1862,2,-0.122
1862,3,0.186
1862,4,0.114
1862,5,0.092
1862,6,-0.034
1862,7,0.028
1862,8,0.127
1862,9,-0.398
1862,10,-0.377
1862,11,-0.204
1862,12,-0.171
1863,1,-0.176
1863,2,-0.168
1863,3,-0.112
1863,4,-0.027
1863,5,0.2
1863,6,0.144
1863,7,0.444
1863,8,0.204
1863,9,0.433
1863,10,0.261
1863,11,0.189
1863,12,0.043
1864,1,-0.01
1864,2,0.161
1864,3,-0.572
1864,4,-0.473
1864,5,-0.199
1864,6,-0.101
1864,7,0.415
1864,8,0.131
1864,9,0.217
1864,10,0.553
1864,11,0.824
1864,12,0.66
1865,1,0
1865,2,-0.141
1865,3,-0.01
1865,4,0.152
1865,5,0.174
1865,6,-0.281
1865,7,-0.302
1865,8,-0.109
1865,9,-0.155
1865,10,-0.166
1865,11,-0.348
1865,12,-0.576
1866,1,-1.735
1866,2,-1.599
1866,3,-1.55
1866,4,-0.76
1866,5,-0.294
1866,6,-0.411
1866,7,-0.064
1866,8,0.093
1866,9,0.011
1866,10,0.169
1866,11,0.196
1866,12,-0.2
1867,1,-0.033
1867,2,-0.053
1867,3,-0.114
1867,4,-0.121
1867,5,0.062
1867,6,0.064
1867,7,0.326
1867,8,0.197
1867,9,0.111
1867,10,-0.369
1867,11,0.004
1867,12,0.707
1868,1,0.592
1868,2,0.283
1868,3,0.2
1868,4,-0.063
1868,5,-0.004
1868,6,0.1
1868,7,0.373
1868,8,0.419
1868,9,0.558
1868,10,0.23
1868,11,-0.247
1868,12,-0.547
1869,1,-0.491
1869,2,-0.044
1869,3,0.418
1869,4,1.137
1869,5,3.254
1869,6,3.406
1869,7,3.375
1869,8,1.167
1869,9,0.021
1869,10,-0.364
1869,11,-0.454
1869,12,-0.391
1870,1,0.21
1870,2,-0.059
1870,3,0.323
1870,4,0.081
1870,5,0.164
1870,6,-0.232
1870,7,0.158
1870,8,0.371
1870,9,-0.038
1870,10,-0.307
1870,11,-0.522
1870,12,-0.76
1871,1,-0.456
1871,2,-0.027
1871,3,0.157
1871,4,-0.093
1871,5,-0.464
1871,6,-0.105
1871,7,-0.067
1871,8,0.209
1871,9,-0.314
1871,10,-0.574
1871,11,-0.65
1871,12,-0.282
1872,1,-0.319
1872,2,-0.409
1872,3,-0.166
1872,4,-0.324
1872,5,0.059
1872,6,-0.527
1872,7,-0.521
1872,8,-0.444
1872,9,-0.176
1872,10,-0.018
1872,11,-1.537
1872,12,-1.992
1873,1,-2.007
1873,2,-1.732
1873,3,-1.398
1873,4,-0.628
1873,5,-0.301
1873,6,-0.583
1873,7,-0.632
1873,8,-0.633
1873,9,-0.559
1873,10,-0.328
1873,11,-0.643
1873,12,-0.614
1874,1,-0.501
1874,2,-0.687
1874,3,-0.314
1874,4,0
1874,5,-0.143
1874,6,-0.238
1874,7,0.108
1874,8,0.549
1874,9,0.38
1874,10,0.186
1874,11,0.24
1874,12,-0.676
1875,1,-0.98
1875,2,-1.252
1875,3,-1.004
1875,4,-0.91
1875,5,-0.556
1875,6,-0.416
1875,7,-0.363
1875,8,-0.053
1875,9,-0.061
1875,10,-0.591
1875,11,-0.465
1875,12,0.056
1876,1,-0.825
1876,2,-0.764
1876,3,-0.871
1876,4,-1.353
1876,5,-1.192
1876,6,-0.654
1876,7,-1.865
1876,8,-1.593
1876,9,-0.813
1876,10,0.067
1876,11,0.337
1876,12,-0.109
1877,1,-0.033
1877,2,0.145
1877,3,0.2
1877,4,-0.05
1877,5,-0.128
1877,6,-0.305
1877,7,0.277
1877,8,-0.162
1877,9,0.103
1877,10,0.204
1877,11,0.469
1877,12,0.591
1878,1,0.661
1878,2,1.173
1878,3,1.277
1878,4,1.661
1878,5,1.745
1878,6,1.189
1878,7,0.81
1878,8,0.105
1878,9,-0.954
1878,10,-0.663
1878,11,-0.005
1878,12,1.325
1879,1,0.14
1879,2,0.249
1879,3,0.341
1879,4,0.684
1879,5,-0.686
1879,6,-0.843
1879,7,-1.034
1879,8,0.026
1879,9,0.111
1879,10,0.048
1879,11,-0.247
1879,12,-0.053
1880,1,0.255
1880,2,-0.323
1880,3,-0.98
1880,4,-1.736
1880,5,-2.246
1880,6,-2.448
1880,7,-1.564
1880,8,-1.228
1880,9,-1.374
1880,10,0.3
1880,11,-0.083
1880,12,-0.016
1881,1,-0.321
1881,2,-0.011
1881,3,0.219
1881,4,0.323
1881,5,0.682
1881,6,0.569
1881,7,-1.122
1881,8,-1.694
1881,9,0.492
1881,10,0.555
1881,11,0.386
1881,12,-0.543
1882,1,-1.514
1882,2,-1.317
1882,3,-1.27
1882,4,-1.103
1882,5,-0.918
1882,6,-1.447
1882,7,-2.514
1882,8,-0.775
1882,9,-0.411
1882,10,-0.748
1882,11,-0.412
1882,12,0.405
1883,1,-0.992
1883,2,-0.865
1883,3,-0.967
1883,4,-0.07
1883,5,-0.261
1883,6,-0.524
1883,7,-1.626
1883,8,-1.378
1883,9,-0.781
1883,10,-0.726
1883,11,-0.656
1883,12,-1.266
1884,1,-1.397
1884,2,-1.586
1884,3,-1.156
1884,4,-0.528
1884,5,0.439
1884,6,0.826
1884,7,1.097
1884,8,0.902
1884,9,0.708
1884,10,1.236
1884,11,1.909
1884,12,2.253
1885,1,2.296
1885,2,1.356
1885,3,1.725
1885,4,1.575
1885,5,1.124
1885,6,0
1885,7,-0.134
1885,8,0.388
1885,9,0.263
1885,10,0.166
1885,11,-0.05
1885,12,-0.224
1886,1,-0.41
1886,2,0.431
1886,3,-0.292
1886,4,0.411
1886,5,0.147
1886,6,-0.817
1886,7,-0.006
1886,8,-0.057
1886,9,-0.068
1886,10,-0.831
1886,11,-1.9
1886,12,-1.451
1887,1,-0.945
1887,2,-1.193
1887,3,-1.544
1887,4,-1.178
1887,5,-0.32
1887,6,0.455
1887,7,1.478
1887,8,-0.486
1887,9,-1.527
1887,10,-0.836
1887,11,-0.588
1887,12,-0.744
1888,1,-0.682
1888,2,0.085
1888,3,0.013
1888,4,0.02
1888,5,1.09
1888,6,1.178
1888,7,1.33
1888,8,1.163
1888,9,1.177
1888,10,0.757
1888,11,0.715
1888,12,0.396
1889,1,0.446
1889,2,0.142
1889,3,0.414
1889,4,1.072
1889,5,1.277
1889,6,1.197
1889,7,0.726
1889,8,-0.422
1889,9,-0.713
1889,10,-0.272
1889,11,1.15
1889,12,-0.006
1890,1,-0.51
1890,2,-0.872
1890,3,-1.194
1890,4,-0.733
1890,5,-0.883
1890,6,-2.646
1890,7,-0.836
1890,8,-0.521
1890,9,1.586
1890,10,-0.131
1890,11,-0.524
1890,12,-1.211
1891,1,-0.436
1891,2,-0.622
1891,3,-0.634
1891,4,-0.211
1891,5,0.839
1891,6,0.989
1891,7,0.979
1891,8,0.536
1891,9,0.345
1891,10,0.946
1891,11,0.295
1891,12,-0.178
1892,1,-0.919
1892,2,-1.015
1892,3,-0.715
1892,4,-1.044
1892,5,-2.423
1892,6,-1.884
1892,7,-1.748
1892,8,-2.387
1892,9,-2.043
1892,10,-2.119
1892,11,-1.944
1892,12,-1.023
1893,1,-0.44
1893,2,-0.491
1893,3,-0.693
1893,4,-1.348
1893,5,-2.07
1893,6,-1.954
1893,7,-1.858
1893,8,-0.497
1893,9,-0.168
1893,10,-0.544
1893,11,-0.703
1893,12,-1.518
1894,1,-1.419
1894,2,-1.953
1894,3,-2.647
1894,4,-2.634
1894,5,-2.941
1894,6,-2.393
1894,7,-2.731
1894,8,-1.737
1894,9,-1.803
1894,10,-2.264
1894,11,-3.001
1894,12,-1.4
1895,1,-0.865
1895,2,-0.515
1895,3,-0.463
1895,4,-0.734
1895,5,-0.223
1895,6,-0.508
1895,7,0.124
1895,8,-0.172
1895,9,-1.067
1895,10,-0.856
1895,11,-1.092
1895,12,-0.349
1896,1,0.245
1896,2,0.139
1896,3,-0.045
1896,4,-0.44
1896,5,-0.85
1896,6,-0.667
1896,7,-0.169
1896,8,0.183
1896,9,1.199
1896,10,0.207
1896,11,0.237
1896,12,0.256
1897,1,0.461
1897,2,-0.138
1897,3,-0.398
1897,4,0.01
1897,5,0.575
1897,6,0.781
1897,7,0.774
1897,8,0.192
1897,9,-0.489
1897,10,0.198
1897,11,0.411
1897,12,0.062
1898,1,0.121
1898,2,-0.072
1898,3,-0.343
1898,4,0.005
1898,5,-0.395
1898,6,0.003
1898,7,-0.484
1898,8,0.351
1898,9,0.323
1898,10,0.125
1898,11,0.586
1898,12,0.197
1899,1,0.049
1899,2,-0.531
1899,3,-0.398
1899,4,-0.283
1899,5,-0.582
1899,6,-0.972
1899,7,-0.1
1899,8,0.571
1899,9,0.596
1899,10,-0.086
1899,11,0.383
1899,12,0.399
1900,1,0.909
1900,2,0.395
1900,3,0.797
1900,4,1.735
1900,5,1.276
1900,6,1.003
1900,7,1.005
1900,8,1.246
1900,9,-0.23
1900,10,0.122
1900,11,0.657
1900,12,0.651
1901,1,1.146
1901,2,0.671
1901,3,-0.317
1901,4,-0.437
1901,5,-1.034
1901,6,-1.072
1901,7,-1.138
1901,8,-0.466
1901,9,0.092
1901,10,0.227
1901,11,0.074
1901,12,0.327
1902,1,1.098
1902,2,0.44
1902,3,0.3
1902,4,0.382
1902,5,1.002
1902,6,1.967
1902,7,2.492
1902,8,1.593
1902,9,0.965
1902,10,1.035
1902,11,0.465
1902,12,0.227
1903,1,-0.038
1903,2,0.116
1903,3,-0.135
1903,4,-0.934
1903,5,-0.403
1903,6,-0.063
1903,7,1.302
1903,8,1.152
1903,9,0.601
1903,10,0.466
1903,11,-0.187
1903,12,-0.017
1904,1,0.915
1904,2,0.262
1904,3,0.55
1904,4,0.108
1904,5,0.339
1904,6,-0.123
1904,7,0.056
1904,8,1.556
1904,9,1.992
1904,10,1.767
1904,11,1.659
1904,12,2.808
1905,1,2.479
1905,2,1.301
1905,3,0.584
1905,4,1.684
1905,5,1.252
1905,6,1.393
1905,7,2.093
1905,8,2.066
1905,9,1.798
1905,10,-0.218
1905,11,0.565
1905,12,-0.99
1906,1,1.175
1906,2,1.218
1906,3,0.566
1906,4,0.512
1906,5,1.274
1906,6,0.719
1906,7,1.331
1906,8,0.919
1906,9,0.188
1906,10,1.005
1906,11,0.629
1906,12,-0.577
1907,1,-0.65
1907,2,-0.477
1907,3,-1.773
1907,4,-1.206
1907,5,0.446
1907,6,0.747
1907,7,0.642
1907,8,-0.044
1907,9,1.103
1907,10,1.905
1907,11,1.597
1907,12,1.588
1908,1,1.259
1908,2,1.196
1908,3,0.281
1908,4,-0.008
1908,5,0.148
1908,6,0.211
1908,7,0.293
1908,8,-0.213
1908,9,0.816
1908,10,1.114
1908,11,1.581
1908,12,0.829
1909,1,0.316
1909,2,0.542
1909,3,0.664
1909,4,0.127
1909,5,-0.309
1909,6,-0.696
1909,7,-1.218
1909,8,-2.06
1909,9,-1.825
1909,10,-1.213
1909,11,-1.438
1909,12,-2.131
1910,1,-1.58
1910,2,-1.159
1910,3,-0.959
1910,4,-1.958
1910,5,-2.125
1910,6,-0.354
1910,7,-0.033
1910,8,-0.494
1910,9,0.754
1910,10,-0.956
1910,11,-0.633
1910,12,-0.095
1911,1,-0.54
1911,2,-1.129
1911,3,-1.259
1911,4,-0.616
1911,5,-0.66
1911,6,-1.346
1911,7,-0.363
1911,8,0.14
1911,9,-0.084
1911,10,-0.107
1911,11,-0.329
1911,12,-0.858
1912,1,-0.3
1912,2,0.088
1912,3,-0.198
1912,4,-0.268
1912,5,0.011
1912,6,0.374
1912,7,0.299
1912,8,0.523
1912,9,1.19
1912,10,0.691
1912,11,0.113
1912,12,-0.265
1913,1,-0.304
1913,2,0.211
1913,3,-0.087
1913,4,-0.506
1913,5,0.201
1913,6,0.128
1913,7,0.743
1913,8,1.206
1913,9,0.877
1913,10,0.617
1913,11,0.505
1913,12,0.04
1914,1,-0.215
1914,2,-0.027
1914,3,0.294
1914,4,0.948
1914,5,0.708
1914,6,-0.57
1914,7,-0.39
1914,8,-0.251
1914,9,-0.355
1914,10,-0.137
1914,11,0.122
1914,12,0.091
1915,1,-0.397
1915,2,-0.286
1915,3,0.578
1915,4,1.45
1915,5,1.661
1915,6,1.605
1915,7,1.602
1915,8,1.03
1915,9,0.585
1915,10,-0.727
1915,11,-1.066
1915,12,-0.641
1916,1,-1.114
1916,2,-1.116
1916,3,-0.941
1916,4,-0.339
1916,5,-0.204
1916,6,-1.155
1916,7,-1.127
1916,8,-1.568
1916,9,-1.476
1916,10,-1.452
1916,11,-2.164
1916,12,-2.274
1917,1,-1.695
1917,2,-1.624
1917,3,-1.794
1917,4,-1.591
1917,5,-1.087
1917,6,-0.897
1917,7,-0.51
1917,8,-0.219
1917,9,-0.697
1917,10,-1.155
1917,11,-0.935
1917,12,-0.584
1918,1,0.153
1918,2,-0.208
1918,3,-0.725
1918,4,-0.606
1918,5,-0.761
1918,6,-0.404
1918,7,0.066
1918,8,0.292
1918,9,0.643
1918,10,1.407
1918,11,1.223
1918,12,0.364
1919,1,0.354
1919,2,-0.009
1919,3,-0.375
1919,4,-0.395
1919,5,-0.834
1919,6,-1.216
1919,7,-1.286
1919,8,-0.448
1919,9,0.115
1919,10,-0.112
1919,11,-0.569
1919,12,-0.448
1920,1,-1.089
1920,2,-0.685
1920,3,-0.571
1920,4,-0.815
1920,5,-0.538
1920,6,-0.726
1920,7,-0.877
1920,8,-1.296
1920,9,-1.388
1920,10,-1.154
1920,11,-0.476
1920,12,-0.638
1921,1,-1.021
1921,2,-1.297
1921,3,-0.687
1921,4,-1.459
1921,5,-1.257
1921,6,-0.986
1921,7,-1.076
1921,8,-1.235
1921,9,-1.098
1921,10,-1.164
1921,11,-0.562
1921,12,-0.097
1922,1,-0.179
1922,2,-1.024
1922,3,-1.27
1922,4,-1.427
1922,5,-1.436
1922,6,-0.853
1922,7,-0.422
1922,8,-0.095
1922,9,-0.15
1922,10,-0.053
1922,11,-0.483
1922,12,0.2
1923,1,0.1
1923,2,-0.658
1923,3,-0.785
1923,4,-0.301
1923,5,0.36
1923,6,-0.8
1923,7,0.592
