"year","site","web","species.x","species.y","overlap"
2000,"C",1,"CHER2","GRCL",0.999999999989629
2000,"C",1,"CHER2","LATR2",0.336178129735256
2000,"C",1,"CHER2","LEFE",0.999999999989629
2000,"C",1,"CHER2","MAPIP",0.293041502254154
2000,"C",1,"CHER2","OPMA8",0.999999999989629
2000,"C",1,"CHER2","THAC",0.355742672777919
2000,"C",1,"CHER2","YUGL",0.999999999989629
2000,"C",1,"CHER2","MELE2",0.00264093684850677
2000,"C",1,"CHER2","GUSA2",0.0056124025283096
2000,"C",1,"GRCL","LATR2",0.336178129735256
2000,"C",1,"GRCL","LEFE",0.99999999998963
2000,"C",1,"GRCL","MAPIP",0.293041502254154
2000,"C",1,"GRCL","OPMA8",0.99999999998963
2000,"C",1,"GRCL","THAC",0.355742672777919
2000,"C",1,"GRCL","YUGL",0.99999999998963
2000,"C",1,"GRCL","MELE2",0.00264093684850677
2000,"C",1,"GRCL","GUSA2",0.0056124025283096
2000,"C",1,"LATR2","LEFE",0.336178129735256
2000,"C",1,"LATR2","MAPIP",0.908689230270203
2000,"C",1,"LATR2","OPMA8",0.336178129735256
2000,"C",1,"LATR2","THAC",0.814384350347045
2000,"C",1,"LATR2","YUGL",0.336178129735256
2000,"C",1,"LATR2","MELE2",0.465766992687183
2000,"C",1,"LATR2","GUSA2",0.510553785762671
2000,"C",1,"LEFE","MAPIP",0.293041502254154
2000,"C",1,"LEFE","OPMA8",0.99999999998963
2000,"C",1,"LEFE","THAC",0.355742672777919
2000,"C",1,"LEFE","YUGL",0.99999999998963
2000,"C",1,"LEFE","MELE2",0.00264093684850677
2000,"C",1,"LEFE","GUSA2",0.0056124025283096
2000,"C",1,"MAPIP","OPMA8",0.293041502254154
2000,"C",1,"MAPIP","THAC",0.83197728204409
2000,"C",1,"MAPIP","YUGL",0.293041502254154
2000,"C",1,"MAPIP","MELE2",0.440920480333468
2000,"C",1,"MAPIP","GUSA2",0.534115290758941
2000,"C",1,"OPMA8","THAC",0.355742672777919
2000,"C",1,"OPMA8","YUGL",0.99999999998963
2000,"C",1,"OPMA8","MELE2",0.00264093684850677
2000,"C",1,"OPMA8","GUSA2",0.0056124025283096
2000,"C",1,"THAC","YUGL",0.355742672777919
2000,"C",1,"THAC","MELE2",0.299306878997038
2000,"C",1,"THAC","GUSA2",0.388620990090821
2000,"C",1,"YUGL","MELE2",0.00264093684850677
2000,"C",1,"YUGL","GUSA2",0.0056124025283096
2000,"C",1,"MELE2","GUSA2",0.693685522495325
2000,"C",2,"CHER2","GRCL",0.999999999989629
2000,"C",2,"CHER2","LATR2",0.28544991131242
2000,"C",2,"CHER2","LEFE",0.285042491642909
2000,"C",2,"CHER2","MAPIP",0.288408660685499
2000,"C",2,"CHER2","OPMA8",0.99999999998963
2000,"C",2,"CHER2","THAC",0.343190833402277
2000,"C",2,"CHER2","HODR",0.278432217505417
2000,"C",2,"CHER2","MELE2",0.319889626286205
2000,"C",2,"CHER2","OPPH",0.99999999998963
2000,"C",2,"CHER2","TICA3",0.99999999998963
2000,"C",2,"CHER2","GUSA2",8.54489510111157e-05
2000,"C",2,"CHER2","SEBA3",0.0268262690324305
2000,"C",2,"CHER2","ALIN",0.00264093684850677
2000,"C",2,"CHER2","BAABA",0.00264093684850677
2000,"C",2,"CHER2","CHCO",0.00264093684850677
2000,"C",2,"CHER2","SPWR",0.00264093684850677
2000,"C",2,"CHER2","SEFLF",8.54489510111157e-05
2000,"C",2,"GRCL","LATR2",0.28544991131242
2000,"C",2,"GRCL","LEFE",0.285042491642909
2000,"C",2,"GRCL","MAPIP",0.288408660685499
2000,"C",2,"GRCL","OPMA8",0.999999999989629
2000,"C",2,"GRCL","THAC",0.343190833402277
2000,"C",2,"GRCL","HODR",0.278432217505417
2000,"C",2,"GRCL","MELE2",0.319889626286205
2000,"C",2,"GRCL","OPPH",0.999999999989629
2000,"C",2,"GRCL","TICA3",0.999999999989629
2000,"C",2,"GRCL","GUSA2",8.54489510111156e-05
2000,"C",2,"GRCL","SEBA3",0.0268262690324305
2000,"C",2,"GRCL","ALIN",0.00264093684850677
2000,"C",2,"GRCL","BAABA",0.00264093684850677
2000,"C",2,"GRCL","CHCO",0.00264093684850677
2000,"C",2,"GRCL","SPWR",0.00264093684850677
2000,"C",2,"GRCL","SEFLF",8.54489510111156e-05
2000,"C",2,"LATR2","LEFE",0.797392700082498
2000,"C",2,"LATR2","MAPIP",0.81139049517452
2000,"C",2,"LATR2","OPMA8",0.28544991131242
2000,"C",2,"LATR2","THAC",0.714503493356616
2000,"C",2,"LATR2","HODR",0.966530931579568
2000,"C",2,"LATR2","MELE2",0.862221514427953
2000,"C",2,"LATR2","OPPH",0.28544991131242
2000,"C",2,"LATR2","TICA3",0.28544991131242
2000,"C",2,"LATR2","GUSA2",0.324505906900233
2000,"C",2,"LATR2","SEBA3",0.565657418633251
2000,"C",2,"LATR2","ALIN",0.490408809193343
2000,"C",2,"LATR2","BAABA",0.490408809193343
2000,"C",2,"LATR2","CHCO",0.490408809193343
2000,"C",2,"LATR2","SPWR",0.490408809193343
2000,"C",2,"LATR2","SEFLF",0.324505906900233
2000,"C",2,"LEFE","MAPIP",0.649212951578921
2000,"C",2,"LEFE","OPMA8",0.285042491642909
2000,"C",2,"LEFE","THAC",0.619905257350664
2000,"C",2,"LEFE","HODR",0.793969270881176
2000,"C",2,"LEFE","MELE2",0.80628770058897
2000,"C",2,"LEFE","OPPH",0.285042491642909
2000,"C",2,"LEFE","TICA3",0.285042491642909
2000,"C",2,"LEFE","GUSA2",0.182162371507229
