year,site,mean.daily.precip,sd.daily.precip,cv.daily.precip
2000,met49,0.694360656,2.682594587,3.863402346
2001,met49,0.673526027,2.4750008,3.674692141
2002,met49,0.619323288,2.930158695,4.73122641
2002,met50,1.245238095,4.903401923,3.937722386
2003,met49,0.405285303,2.039147551,5.03138786
2003,met50,0.406575342,2.07845054,5.112091961
2004,met49,0.881540984,3.333007982,3.780888289
2004,met50,1.118815331,4.711100712,4.210793847
2005,met49,0.777578082,3.123368607,4.016790954
2005,met50,0.794794521,3.698061606,4.652852417
2006,met49,0.94749863,4.552682222,4.804948605
2006,met50,0.80521978,3.755334161,4.663738092
2007,met49,0.693394521,2.563373225,3.696846671
2007,met50,0.803013699,3.063121067,3.814531524
2008,met49,0.745642077,3.66446443,4.914508644
2008,met50,0.570765027,2.538922857,4.448280353
2009,met49,0.67120274,2.600726444,3.874725608
2009,met50,0.617260274,2.327783257,3.771153523
2010,met49,0.563117808,2.29612232,4.077516794
2010,met50,0.7,3.249641514,4.64234502
2011,met49,0.419183562,1.795966807,4.284439971
2011,met50,0.439612188,1.819160021,4.138101875
2012,met49,0.392248634,2.047841898,5.220775093
2012,met50,0.405,1.951751588,4.819139724
2013,met49,0.768923288,3.518293542,4.575610595
2013,met50,0.840273973,3.807864178,4.531693593
2014,met49,0.630438356,2.11468166,3.354303619
2014,met50,0.668219178,2.334424266,3.49350085
2015,met49,0.673167123,2.071494125,3.077236028
2015,met50,0.820821918,2.701933452,3.291741355
2016,met49,0.580746425,2.483210303,4.275894257
2016,met50,0.556944444,2.391735212,4.294387413
2017,met49,0.494217622,1.914200883,3.873194313
2017,met50,0.775616438,3.402517243,4.386855506
2018,met49,0.645584378,2.815751631,4.361554784
2018,met50,0.642191781,2.694770193,4.196207851
2019,met49,0.721072574,2.648310404,3.67273767
2019,met50,0.676986301,2.50289211,3.697108944
2020,met49,0.424074614,2.033735671,4.795702465
2020,met50,0.653825137,2.712421778,4.148543129
2021,met49,0.574176625,2.767965434,4.820756043
2021,met50,0.833972603,4.345807232,5.21097122
2022,met49,0.989502607,3.551265184,3.588939696
2022,met50,0.804657534,2.55163279,3.171079225
2023,met49,0.605654328,2.43139487,4.014492684
2023,met50,0.553150685,2.145893649,3.879401594
2024,met49,0.766480642,3.373437963,4.401204387
2024,met50,0.742076503,2.858255058,3.851698642
